City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
323,Bloomingdale,27.8936,-82.2404,33.9,68,1,0.45,US,2021-08-24 18:58:30,clear sky
324,Wamba,8.9333,8.6,23.85,90,36,0.85,NG,2021-08-24 18:58:30,moderate rain
325,Mkushi,-13.6202,29.3939,21.83,41,34,2.83,ZM,2021-08-24 18:58:30,scattered clouds
326,Berlevag,70.8578,29.0864,10.0,76,75,2.57,NO,2021-08-24 18:49:49,broken clouds
327,Idah,7.1065,6.7342,23.84,95,14,1.71,NG,2021-08-24 18:58:31,light rain
328,Marsabit,2.3284,37.9899,21.85,39,0,9.32,KE,2021-08-24 18:58:31,clear sky
329,Malaya Serdoba,52.4661,44.9512,14.56,74,23,4.55,RU,2021-08-24 18:58:31,few clouds
330,George Town,5.4112,100.3354,24.38,93,40,1.54,MY,2021-08-24 18:58:32,scattered clouds
331,Kumluca,36.3703,30.2869,30.2,46,0,2.21,TR,2021-08-24 18:58:32,clear sky
332,Ubaitaba,-14.3125,-39.3233,25.67,50,3,2.99,BR,2021-08-24 18:58:32,clear sky
333,Sidi Ali,36.0998,0.4206,27.75,61,69,2.28,DZ,2021-08-24 18:51:33,broken clouds
334,Pemba,-12.974,40.5178,24.39,73,40,3.09,MZ,2021-08-24 18:58:32,scattered clouds
335,Iturama,-19.7281,-50.1956,34.66,19,3,0.99,BR,2021-08-24 18:54:36,clear sky
336,Basoko,1.2391,23.616,23.42,85,9,1.71,CD,2021-08-24 18:58:33,light rain
337,Dharchula,29.85,80.5333,22.99,91,100,0.61,IN,2021-08-24 18:58:33,overcast clouds
338,Aanekoski,62.6946,25.818,8.71,75,100,2.24,FI,2021-08-24 18:58:33,overcast clouds
339,Chilca,-12.5211,-76.7372,17.09,83,89,4.95,PE,2021-08-24 18:58:34,overcast clouds
340,Barcelona,41.3888,2.159,25.89,73,20,2.68,ES,2021-08-24 18:57:22,few clouds
341,Puerto Lumbreras,37.5633,-1.8097,24.99,61,0,3.02,ES,2021-08-24 18:58:34,clear sky
342,Tenenkou,14.4572,-4.9169,34.57,37,46,1.49,ML,2021-08-24 18:49:18,scattered clouds
343,Zwedru,6.0667,-8.1281,23.24,95,100,1.68,LR,2021-08-24 18:58:34,moderate rain
